"PokedexID","Title","CaptureRate","GrowthRate","HeightInches","WeightLbs","Types","Region","RegionID","Color","EnglishName","JapaneseName","FrenchName","Type1","Type2","SpeciesID"
"16","Pidgey","255","medium-slow","11.81","3.97","1;3","56","1","Brown","Pidgey","ポッポ","Roucool","Normal","Flying","16"
"17","Pidgeotto","120","medium-slow","43.31","66.14","1;3","56","1","Brown","Pidgeotto","ピジョン","Roucoups","Normal","Flying","17"
"18","Pidgeot","45","medium-slow","59.06","87.08","1;3","56","1","Brown","Pidgeot","ピジョット","Roucarnage","Normal","Flying","18"
"19","Rattata","255","medium","11.81","7.72","1","56","1","Purple","Rattata","コラッタ","Rattata","Normal","","19"
"20","Raticate","127","medium","27.56","40.79","1","56","1","Brown","Raticate","ラッタ","Rattatac","Normal","","20"
"21","Spearow","255","medium","11.81","4.41","1;3","56","1","Brown","Spearow","オニスズメ","Piafabec","Normal","Flying","21"
"22","Fearow","90","medium","47.24","83.78","1;3","56","1","Brown","Fearow","オニドリル","Rapasdepic","Normal","Flying","22"
"23","Ekans","255","medium","78.74","15.21","4","56","1","Purple","Ekans","アーボ","Abo","Poison","","23"
"24","Arbok","90","medium","137.8","143.3","4","56","1","Purple","Arbok","アーボック","Arbok","Poison","","24"
"25","Pikachu","190","medium","15.75","13.23","13","56","1","Yellow","Pikachu","ピカチュウ","Pikachu","Electric","","25"
"26","Raichu","75","medium","31.5","66.14","13","56","1","Yellow","Raichu","ライチュウ","Raichu","Electric","","26"
"27","Sandshrew","255","medium","23.62","26.46","5","56","1","Yellow","Sandshrew","サンド","Sabelette","Ground","","27"
"28","Sandslash","90","medium","39.37","65.04","5","56","1","Yellow","Sandslash","サンドパン","Sablaireau","Ground","","28"
"29","Nidoran-f","235","medium-slow","15.75","15.43","4","56","1","Blue","Nidoran♀","ニドラン♀","Nidoran♀","Poison","","29"
"30","Nidorina","120","medium-slow","31.5","44.09","4","56","1","Blue","Nidorina","ニドリーナ","Nidorina","Poison","","30"
"31","Nidoqueen","45","medium-slow","51.18","132.28","4;5","56","1","Blue","Nidoqueen","ニドクイン","Nidoqueen","Poison","Ground","31"
"32","Nidoran-m","235","medium-slow","19.69","19.84","4","56","1","Purple","Nidoran♂","ニドラン♂","Nidoran♂","Poison","","32"
"33","Nidorino","120","medium-slow","35.43","42.99","4","56","1","Purple","Nidorino","ニドリーノ","Nidorino","Poison","","33"
"34","Nidoking","45","medium-slow","55.12","136.69","4;5","56","1","Purple","Nidoking","ニドキング","Nidoking","Poison","Ground","34"
"35","Clefairy","150","fast","23.62","16.53","18","56","1","Pink","Clefairy","ピッピ","Mélofée","Fairy","","35"
"36","Clefable","25","fast","51.18","88.18","18","56","1","Pink","Clefable","ピクシー","Mélodelfe","Fairy","","36"
"37","Vulpix","190","medium","23.62","21.83","10","56","1","Brown","Vulpix","ロコン","Goupix","Fire","","37"
"38","Ninetales","75","medium","43.31","43.87","10","56","1","Yellow","Ninetales","キュウコン","Feunard","Fire","","38"
"39","Jigglypuff","170","fast","19.69","12.13","1;18","56","1","Pink","Jigglypuff","プリン","Rondoudou","Normal","Fairy","39"
"40","Wigglytuff","50","fast","39.37","26.46","1;18","56","1","Pink","Wigglytuff","プクリン","Grodoudou","Normal","Fairy","40"
"41","Zubat","255","medium","31.5","16.53","4;3","56","1","Purple","Zubat","ズバット","Nosferapti","Poison","Flying","41"
"42","Golbat","90","medium","62.99","121.25","4;3","56","1","Purple","Golbat","ゴルバット","Nosferalto","Poison","Flying","42"
"43","Oddish","255","medium-slow","19.69","11.9","12;4","56","1","Blue","Oddish","ナゾノクサ","Mystherbe","Grass","Poison","43"
"44","Gloom","120","medium-slow","31.5","18.96","12;4","56","1","Blue","Gloom","クサイハナ","Ortide","Grass","Poison","44"
"45","Vileplume","45","medium-slow","47.24","41.01","12;4","56","1","Red","Vileplume","ラフレシア","Rafflesia","Grass","Poison","45"
"46","Paras","190","medium","11.81","11.9","7;12","56","1","Red","Paras","パラス","Paras","Bug","Grass","46"
"47","Parasect","75","medium","39.37","65.04","7;12","56","1","Red","Parasect","パラセクト","Parasect","Bug","Grass","47"
"48","Venonat","190","medium","39.37","66.14","7;4","56","1","Purple","Venonat","コンパン","Mimitoss","Bug","Poison","48"
"49","Venomoth","75","medium","59.06","27.56","7;4","56","1","Purple","Venomoth","モルフォン","Aéromite","Bug","Poison","49"
"50","Diglett","255","medium","7.87","1.76","5","56","1","Brown","Diglett","ディグダ","Taupiqueur","Ground","","50"
"51","Dugtrio","50","medium","27.56","73.41","5","56","1","Brown","Dugtrio","ダグトリオ","Triopikeur","Ground","","51"
"52","Meowth","255","medium","15.75","9.26","1","56","1","Yellow","Meowth","ニャース","Miaouss","Normal","","52"
"53","Persian","90","medium","39.37","70.55","1","56","1","Yellow","Persian","ペルシアン","Persian","Normal","","53"
"54","Psyduck","190","medium","31.5","43.21","11","56","1","Yellow","Psyduck","コダック","Psykokwak","Water","","54"
"55","Golduck","75","medium","66.93","168.87","11","56","1","Blue","Golduck","ゴルダック","Akwakwak","Water","","55"
"56","Mankey","190","medium","19.69","61.73","2","56","1","Brown","Mankey","マンキー","Férosinge","Fighting","","56"
"57","Primeape","75","medium","39.37","70.55","2","56","1","Brown","Primeape","オコリザル","Colossinge","Fighting","","57"
"58","Growlithe","190","slow","27.56","41.89","10","56","1","Brown","Growlithe","ガーディ","Caninos","Fire","","58"
"59","Arcanine","75","slow","74.8","341.72","10","56","1","Brown","Arcanine","ウインディ","Arcanin","Fire","","59"
"60","Poliwag","255","medium-slow","23.62","27.34","11","56","1","Blue","Poliwag","ニョロモ","Ptitard","Water","","60"
"61","Poliwhirl","120","medium-slow","39.37","44.09","11","56","1","Blue","Poliwhirl","ニョロゾ","Têtarte","Water","","61"
"62","Poliwrath","45","medium-slow","51.18","119.05","11;2","56","1","Blue","Poliwrath","ニョロボン","Tartard","Water","Fighting","62"
"63","Abra","200","medium-slow","35.43","42.99","14","56","1","Brown","Abra","ケーシィ","Abra","Psychic","","63"
"64","Kadabra","100","medium-slow","51.18","124.56","14","56","1","Brown","Kadabra","ユンゲラー","Kadabra","Psychic","","64"
"65","Alakazam","50","medium-slow","59.06","105.82","14","56","1","Brown","Alakazam","フーディン","Alakazam","Psychic","","65"
"66","Machop","180","medium-slow","31.5","42.99","2","56","1","Gray","Machop","ワンリキー","Machoc","Fighting","","66"
"67","Machoke","90","medium-slow","59.06","155.43","2","56","1","Gray","Machoke","ゴーリキー","Machopeur","Fighting","","67"
"68","Machamp","45","medium-slow","62.99","286.6","2","56","1","Gray","Machamp","カイリキー","Mackogneur","Fighting","","68"
"69","Bellsprout","255","medium-slow","27.56","8.82","12;4","56","1","Green","Bellsprout","マダツボミ","Chétiflor","Grass","Poison","69"
"70","Weepinbell","120","medium-slow","39.37","14.11","12;4","56","1","Green","Weepinbell","ウツドン","Boustiflor","Grass","Poison","70"
"71","Victreebel","45","medium-slow","66.93","34.17","12;4","56","1","Green","Victreebel","ウツボット","Empiflor","Grass","Poison","71"
"72","Tentacool","190","slow","35.43","100.31","11;4","56","1","Blue","Tentacool","メノクラゲ","Tentacool","Water","Poison","72"
"73","Tentacruel","60","slow","62.99","121.25","11;4","56","1","Blue","Tentacruel","ドククラゲ","Tentacruel","Water","Poison","73"
"74","Geodude","255","medium-slow","15.75","44.09","6;5","56","1","Brown","Geodude","イシツブテ","Racaillou","Rock","Ground","74"
"75","Graveler","120","medium-slow","39.37","231.49","6;5","56","1","Brown","Graveler","ゴローン","Gravalanch","Rock","Ground","75"
"76","Golem","45","medium-slow","55.12","661.39","6;5","56","1","Brown","Golem","ゴローニャ","Grolem","Rock","Ground","76"
"77","Ponyta","190","medium","39.37","66.14","10","56","1","Yellow","Ponyta","ポニータ","Ponyta","Fire","","77"
"78","Rapidash","60","medium","66.93","209.44","10","56","1","Yellow","Rapidash","ギャロップ","Galopa","Fire","","78"
"79","Slowpoke","190","medium","47.24","79.37","11;14","56","1","Pink","Slowpoke","ヤドン","Ramoloss","Water","Psychic","79"
"80","Slowbro","75","medium","62.99","173.06","11;14","56","1","Pink","Slowbro","ヤドラン","Flagadoss","Water","Psychic","80"
"81","Magnemite","190","medium","11.81","13.23","13;9","56","1","Gray","Magnemite","コイル","Magnéti","Electric","Steel","81"
"82","Magneton","60","medium","39.37","132.28","13;9","56","1","Gray","Magneton","レアコイル","Magnéton","Electric","Steel","82"
"83","Farfetchd","45","medium","31.5","33.07","1;3","56","1","Brown","Farfetch’d","カモネギ","Canarticho","Normal","Flying","83"
"84","Doduo","190","medium","55.12","86.42","1;3","56","1","Brown","Doduo","ドードー","Doduo","Normal","Flying","84"
"85","Dodrio","45","medium","70.87","187.83","1;3","56","1","Brown","Dodrio","ドードリオ","Dodrio","Normal","Flying","85"
"86","Seel","190","medium","43.31","198.42","11","56","1","White","Seel","パウワウ","Otaria","Water","","86"
"87","Dewgong","75","medium","66.93","264.55","11;15","56","1","White","Dewgong","ジュゴン","Lamantine","Water","Ice","87"
"88","Grimer","190","medium","35.43","66.14","4","56","1","Purple","Grimer","ベトベター","Tadmorv","Poison","","88"
"89","Muk","75","medium","47.24","66.14","4","56","1","Purple","Muk","ベトベトン","Grotadmorv","Poison","","89"
"90","Shellder","190","slow","11.81","8.82","11","56","1","Purple","Shellder","シェルダー","Kokiyas","Water","","90"
"91","Cloyster","60","slow","59.06","292.11","11;15","56","1","Purple","Cloyster","パルシェン","Crustabri","Water","Ice","91"
"92","Gastly","190","medium-slow","51.18","0.22","8;4","56","1","Purple","Gastly","ゴース","Fantominus","Ghost","Poison","92"
"93","Haunter","90","medium-slow","62.99","0.22","8;4","56","1","Purple","Haunter","ゴースト","Spectrum","Ghost","Poison","93"
"94","Gengar","45","medium-slow","59.06","89.29","8;4","56","1","Purple","Gengar","ゲンガー","Ectoplasma","Ghost","Poison","94"
"95","Onix","45","medium","346.46","462.97","6;5","56","1","Gray","Onix","イワーク","Onix","Rock","Ground","95"
"96","Drowzee","190","medium","39.37","71.43","14","56","1","Yellow","Drowzee","スリープ","Soporifik","Psychic","","96"
"97","Hypno","75","medium","62.99","166.67","14","56","1","Yellow","Hypno","スリーパー","Hypnomade","Psychic","","97"
"98","Krabby","225","medium","15.75","14.33","11","56","1","Red","Krabby","クラブ","Krabby","Water","","98"
"99","Kingler","60","medium","51.18","132.28","11","56","1","Red","Kingler","キングラー","Krabboss","Water","","99"
"100","Voltorb","190","medium","19.69","22.93","13","56","1","Red","Voltorb","ビリリダマ","Voltorbe","Electric","","100"
"101","Electrode","60","medium","47.24","146.83","13","56","1","Red","Electrode","マルマイン","Électrode","Electric","","101"
"102","Exeggcute","90","slow","15.75","5.51","12;14","56","1","Pink","Exeggcute","タマタマ","Noeunoeuf","Grass","Psychic","102"
"103","Exeggutor","45","slow","78.74","264.55","12;14","56","1","Yellow","Exeggutor","ナッシー","Noadkoko","Grass","Psychic","103"
"104","Cubone","190","medium","15.75","14.33","5","56","1","Brown","Cubone","カラカラ","Osselait","Ground","","104"
"105","Marowak","75","medium","39.37","99.21","5","56","1","Brown","Marowak","ガラガラ","Ossatueur","Ground","","105"
"106","Hitmonlee","45","medium","59.06","109.79","2","56","1","Brown","Hitmonlee","サワムラー","Kicklee","Fighting","","106"
"107","Hitmonchan","45","medium","55.12","110.67","2","56","1","Brown","Hitmonchan","エビワラー","Tygnon","Fighting","","107"
"108","Lickitung","45","medium","47.24","144.4","1","56","1","Pink","Lickitung","ベロリンガ","Excelangue","Normal","","108"
"109","Koffing","190","medium","23.62","2.2","4","56","1","Purple","Koffing","ドガース","Smogo","Poison","","109"
"110","Weezing","60","medium","47.24","20.94","4","56","1","Purple","Weezing","マタドガス","Smogogo","Poison","","110"
"111","Rhyhorn","120","slow","39.37","253.53","5;6","56","1","Gray","Rhyhorn","サイホーン","Rhinocorne","Ground","Rock","111"
"112","Rhydon","60","slow","74.8","264.55","5;6","56","1","Gray","Rhydon","サイドン","Rhinoféros","Ground","Rock","112"
"113","Chansey","30","fast","43.31","76.28","1","56","1","Pink","Chansey","ラッキー","Leveinard","Normal","","113"
"114","Tangela","45","medium","39.37","77.16","12","56","1","Blue","Tangela","モンジャラ","Saquedeneu","Grass","","114"
"115","Kangaskhan","45","medium","86.61","176.37","1","56","1","Brown","Kangaskhan","ガルーラ","Kangourex","Normal","","115"
"116","Horsea","225","medium","15.75","17.64","11","56","1","Blue","Horsea","タッツー","Hypotrempe","Water","","116"
"117","Seadra","75","medium","47.24","55.12","11","56","1","Blue","Seadra","シードラ","Hypocéan","Water","","117"
"118","Goldeen","225","medium","23.62","33.07","11","56","1","Red","Goldeen","トサキント","Poissirène","Water","","118"
"119","Seaking","60","medium","51.18","85.98","11","56","1","Red","Seaking","アズマオウ","Poissoroy","Water","","119"
"120","Staryu","225","slow","31.5","76.06","11","56","1","Brown","Staryu","ヒトデマン","Stari","Water","","120"
"121","Starmie","60","slow","43.31","176.37","11;14","56","1","Purple","Starmie","スターミー","Staross","Water","Psychic","121"
"122","Mr-mime","45","medium","51.18","120.15","14;18","56","1","Pink","Mr. Mime","バリヤード","M. Mime","Psychic","Fairy","122"
"123","Scyther","45","medium","59.06","123.46","7;3","56","1","Green","Scyther","ストライク","Insécateur","Bug","Flying","123"
"124","Jynx","45","medium","55.12","89.51","15;14","56","1","Red","Jynx","ルージュラ","Lippoutou","Ice","Psychic","124"
"125","Electabuzz","45","medium","43.31","66.14","13","56","1","Yellow","Electabuzz","エレブー","Élektek","Electric","","125"
"126","Magmar","45","medium","51.18","98.11","10","56","1","Red","Magmar","ブーバー","Magmar","Fire","","126"
"127","Pinsir","45","slow","59.06","121.25","7","56","1","Brown","Pinsir","カイロス","Scarabrute","Bug","","127"
"128","Tauros","45","slow","55.12","194.89","1","56","1","Brown","Tauros","ケンタロス","Tauros","Normal","","128"
"129","Magikarp","255","slow","35.43","22.05","11","56","1","Red","Magikarp","コイキング","Magicarpe","Water","","129"
"130","Gyarados","45","slow","255.91","518.09","11;3","56","1","Blue","Gyarados","ギャラドス","Léviator","Water","Flying","130"
"131","Lapras","45","slow","98.43","485.02","11;15","56","1","Blue","Lapras","ラプラス","Lokhlass","Water","Ice","131"
"132","Ditto","35","medium","11.81","8.82","1","56","1","Purple","Ditto","メタモン","Métamorph","Normal","","132"
"133","Eevee","45","medium","11.81","14.33","1","56","1","Brown","Eevee","イーブイ","Évoli","Normal","","133"
"134","Vaporeon","45","medium","39.37","63.93","11","56","1","Blue","Vaporeon","シャワーズ","Aquali","Water","","134"
"135","Jolteon","45","medium","31.5","54.01","13","56","1","Yellow","Jolteon","サンダース","Voltali","Electric","","135"
"136","Flareon","45","medium","35.43","55.12","10","56","1","Red","Flareon","ブースター","Pyroli","Fire","","136"
"137","Porygon","45","medium","31.5","80.47","1","56","1","Pink","Porygon","ポリゴン","Porygon","Normal","","137"
"138","Omanyte","45","medium","15.75","16.53","6;11","56","1","Blue","Omanyte","オムナイト","Amonita","Rock","Water","138"
"139","Omastar","45","medium","39.37","77.16","6;11","56","1","Blue","Omastar","オムスター","Amonistar","Rock","Water","139"
"140","Kabuto","45","medium","19.69","25.35","6;11","56","1","Brown","Kabuto","カブト","Kabuto","Rock","Water","140"
"141","Kabutops","45","medium","51.18","89.29","6;11","56","1","Brown","Kabutops","カブトプス","Kabutops","Rock","Water","141"
"142","Aerodactyl","45","slow","70.87","130.07","6;3","56","1","Purple","Aerodactyl","プテラ","Ptéra","Rock","Flying","142"
"143","Snorlax","25","slow","82.68","1014.13","1","56","1","Black","Snorlax","カビゴン","Ronflex","Normal","","143"
"144","Articuno","3","slow","66.93","122.14","15;3","56","1","Blue","Articuno","フリーザー","Artikodin","Ice","Flying","144"
"145","Zapdos","3","slow","62.99","115.96","13;3","56","1","Yellow","Zapdos","サンダー","Électhor","Electric","Flying","145"
"146","Moltres","3","slow","78.74","132.28","10;3","56","1","Yellow","Moltres","ファイヤー","Sulfura","Fire","Flying","146"
"147","Dratini","45","slow","70.87","7.28","16","56","1","Blue","Dratini","ミニリュウ","Minidraco","Dragon","","147"
"148","Dragonair","45","slow","157.48","36.38","16","56","1","Blue","Dragonair","ハクリュー","Draco","Dragon","","148"
"149","Dragonite","45","slow","86.61","462.97","16;3","56","1","Brown","Dragonite","カイリュー","Dracolosse","Dragon","Flying","149"
"150","Mewtwo","3","slow","78.74","268.96","14","56","1","Purple","Mewtwo","ミュウツー","Mewtwo","Psychic","","150"
"151","Mew","45","medium-slow","15.75","8.82","14","56","1","Pink","Mew","ミュウ","Mew","Psychic","","151"
"152","Chikorita","45","medium-slow","35.43","14.11","12","57","2","Green","Chikorita","チコリータ","Germignon","Grass","","152"
"153","Bayleef","45","medium-slow","47.24","34.83","12","57","2","Green","Bayleef","ベイリーフ","Macronium","Grass","","153"
"154","Meganium","45","medium-slow","70.87","221.56","12","57","2","Green","Meganium","メガニウム","Méganium","Grass","","154"
"155","Cyndaquil","45","medium-slow","19.69","17.42","10","57","2","Yellow","Cyndaquil","ヒノアラシ","Héricendre","Fire","","155"
"156","Quilava","45","medium-slow","35.43","41.89","10","57","2","Yellow","Quilava","マグマラシ","Feurisson","Fire","","156"
"157","Typhlosion","45","medium-slow","66.93","175.27","10","57","2","Yellow","Typhlosion","バクフーン","Typhlosion","Fire","","157"
"158","Totodile","45","medium-slow","23.62","20.94","11","57","2","Blue","Totodile","ワニノコ","Kaiminus","Water","","158"
"159","Croconaw","45","medium-slow","43.31","55.12","11","57","2","Blue","Croconaw","アリゲイツ","Crocrodil","Water","","159"
"160","Feraligatr","45","medium-slow","90.55","195.77","11","57","2","Blue","Feraligatr","オーダイル","Aligatueur","Water","","160"
"161","Sentret","255","medium","31.5","13.23","1","57","2","Brown","Sentret","オタチ","Fouinette","Normal","","161"
"162","Furret","90","medium","70.87","71.65","1","57","2","Brown","Furret","オオタチ","Fouinar","Normal","","162"
"163","Hoothoot","255","medium","27.56","46.74","1;3","57","2","Brown","Hoothoot","ホーホー","Hoothoot","Normal","Flying","163"
"164","Noctowl","90","medium","62.99","89.95","1;3","57","2","Brown","Noctowl","ヨルノズク","Noarfang","Normal","Flying","164"
"165","Ledyba","255","fast","39.37","23.81","7;3","57","2","Red","Ledyba","レディバ","Coxy","Bug","Flying","165"
"166","Ledian","90","fast","55.12","78.48","7;3","57","2","Red","Ledian","レディアン","Coxyclaque","Bug","Flying","166"
"167","Spinarak","255","fast","19.69","18.74","7;4","57","2","Green","Spinarak","イトマル","Mimigal","Bug","Poison","167"
"168","Ariados","90","fast","43.31","73.85","7;4","57","2","Red","Ariados","アリアドス","Migalos","Bug","Poison","168"
"169","Crobat","90","medium","70.87","165.35","4;3","57","2","Purple","Crobat","クロバット","Nostenfer","Poison","Flying","169"
"170","Chinchou","190","slow","19.69","26.46","11;13","57","2","Blue","Chinchou","チョンチー","Loupio","Water","Electric","170"
"171","Lanturn","75","slow","47.24","49.6","11;13","57","2","Blue","Lanturn","ランターン","Lanturn","Water","Electric","171"
"172","Pichu","190","medium","11.81","4.41","13","57","2","Yellow","Pichu","ピチュー","Pichu","Electric","","172"
"173","Cleffa","150","fast","11.81","6.61","18","57","2","Pink","Cleffa","ピィ","Mélo","Fairy","","173"
"174","Igglybuff","170","fast","11.81","2.2","1;18","57","2","Pink","Igglybuff","ププリン","Toudoudou","Normal","Fairy","174"
"175","Togepi","190","fast","11.81","3.31","18","57","2","White","Togepi","トゲピー","Togepi","Fairy","","175"
"176","Togetic","75","fast","23.62","7.05","18;3","57","2","White","Togetic","トゲチック","Togetic","Fairy","Flying","176"
"177","Natu","190","medium","7.87","4.41","14;3","57","2","Green","Natu","ネイティ","Natu","Psychic","Flying","177"
"178","Xatu","75","medium","59.06","33.07","14;3","57","2","Green","Xatu","ネイティオ","Xatu","Psychic","Flying","178"
"179","Mareep","235","medium-slow","23.62","17.2","13","57","2","White","Mareep","メリープ","Wattouat","Electric","","179"
"180","Flaaffy","120","medium-slow","31.5","29.32","13","57","2","Pink","Flaaffy","モココ","Lainergie","Electric","","180"
"181","Ampharos","45","medium-slow","55.12","135.58","13","57","2","Yellow","Ampharos","デンリュウ","Pharamp","Electric","","181"
"182","Bellossom","45","medium-slow","15.75","12.79","12","57","2","Green","Bellossom","キレイハナ","Joliflor","Grass","","182"
"183","Marill","190","fast","15.75","18.74","11;18","57","2","Blue","Marill","マリル","Marill","Water","Fairy","183"
"184","Azumarill","75","fast","31.5","62.83","11;18","57","2","Blue","Azumarill","マリルリ","Azumarill","Water","Fairy","184"
"185","Sudowoodo","65","medium","47.24","83.78","6","57","2","Brown","Sudowoodo","ウソッキー","Simularbre","Rock","","185"
"186","Politoed","45","medium-slow","43.31","74.74","11","57","2","Green","Politoed","ニョロトノ","Tarpaud","Water","","186"
"187","Hoppip","255","medium-slow","15.75","1.1","12;3","57","2","Pink","Hoppip","ハネッコ","Granivol","Grass","Flying","187"
"188","Skiploom","120","medium-slow","23.62","2.2","12;3","57","2","Green","Skiploom","ポポッコ","Floravol","Grass","Flying","188"
"189","Jumpluff","45","medium-slow","31.5","6.61","12;3","57","2","Blue","Jumpluff","ワタッコ","Cotovol","Grass","Flying","189"
"190","Aipom","45","fast","31.5","25.35","1","57","2","Purple","Aipom","エイパム","Capumain","Normal","","190"
"191","Sunkern","235","medium-slow","11.81","3.97","12","57","2","Yellow","Sunkern","ヒマナッツ","Tournegrin","Grass","","191"
"192","Sunflora","120","medium-slow","31.5","18.74","12","57","2","Yellow","Sunflora","キマワリ","Héliatronc","Grass","","192"
"193","Yanma","75","medium","47.24","83.78","7;3","57","2","Red","Yanma","ヤンヤンマ","Yanma","Bug","Flying","193"
"194","Wooper","255","medium","15.75","18.74","11;5","57","2","Blue","Wooper","ウパー","Axoloto","Water","Ground","194"
"195","Quagsire","90","medium","55.12","165.35","11;5","57","2","Blue","Quagsire","ヌオー","Maraiste","Water","Ground","195"
"196","Espeon","45","medium","35.43","58.42","14","57","2","Purple","Espeon","エーフィ","Mentali","Psychic","","196"
"197","Umbreon","45","medium","39.37","59.52","17","57","2","Black","Umbreon","ブラッキー","Noctali","Dark","","197"
"198","Murkrow","30","medium-slow","19.69","4.63","17;3","57","2","Black","Murkrow","ヤミカラス","Cornèbre","Dark","Flying","198"
"199","Slowking","70","medium","78.74","175.27","11;14","57","2","Pink","Slowking","ヤドキング","Roigada","Water","Psychic","199"
"200","Misdreavus","45","fast","27.56","2.2","8","57","2","Gray","Misdreavus","ムウマ","Feuforêve","Ghost","","200"
"201","Unown","225","medium","19.69","11.02","14","57","2","Black","Unown","アンノーン","Zarbi","Psychic","","201"
"202","Wobbuffet","45","medium","51.18","62.83","14","57","2","Blue","Wobbuffet","ソーナンス","Qulbutoké","Psychic","","202"
"203","Girafarig","60","medium","59.06","91.49","1;14","57","2","Yellow","Girafarig","キリンリキ","Girafarig","Normal","Psychic","203"
"204","Pineco","190","medium","23.62","15.87","7","57","2","Gray","Pineco","クヌギダマ","Pomdepik","Bug","","204"
"205","Forretress","75","medium","47.24","277.34","7;9","57","2","Purple","Forretress","フォレトス","Foretress","Bug","Steel","205"
"206","Dunsparce","190","medium","59.06","30.86","1","57","2","Yellow","Dunsparce","ノコッチ","Insolourdo","Normal","","206"
"207","Gligar","60","medium-slow","43.31","142.86","5;3","57","2","Purple","Gligar","グライガー","Scorplane","Ground","Flying","207"
"208","Steelix","25","medium","362.2","881.85","9;5","57","2","Gray","Steelix","ハガネール","Steelix","Steel","Ground","208"
"209","Snubbull","190","fast","23.62","17.2","18","57","2","Pink","Snubbull","ブルー","Snubbull","Fairy","","209"
"210","Granbull","75","fast","55.12","107.36","18","57","2","Purple","Granbull","グランブル","Granbull","Fairy","","210"
"211","Qwilfish","45","medium","19.69","8.6","11;4","57","2","Gray","Qwilfish","ハリーセン","Qwilfish","Water","Poison","211"
"212","Scizor","25","medium","70.87","260.15","7;9","57","2","Red","Scizor","ハッサム","Cizayox","Bug","Steel","212"
"213","Shuckle","190","medium-slow","23.62","45.19","7;6","57","2","Yellow","Shuckle","ツボツボ","Caratroc","Bug","Rock","213"
"214","Heracross","45","slow","59.06","119.05","7;2","57","2","Blue","Heracross","ヘラクロス","Scarhino","Bug","Fighting","214"
"215","Sneasel","60","medium-slow","35.43","61.73","17;15","57","2","Black","Sneasel","ニューラ","Farfuret","Dark","Ice","215"
"216","Teddiursa","120","medium","23.62","19.4","1","57","2","Brown","Teddiursa","ヒメグマ","Teddiursa","Normal","","216"
"217","Ursaring","60","medium","70.87","277.34","1","57","2","Brown","Ursaring","リングマ","Ursaring","Normal","","217"
"218","Slugma","190","medium","27.56","77.16","10","57","2","Red","Slugma","マグマッグ","Limagma","Fire","","218"
"219","Magcargo","75","medium","31.5","121.25","10;6","57","2","Red","Magcargo","マグカルゴ","Volcaropod","Fire","Rock","219"
"220","Swinub","225","slow","15.75","14.33","15;5","57","2","Brown","Swinub","ウリムー","Marcacrin","Ice","Ground","220"
"221","Piloswine","75","slow","43.31","123.02","15;5","57","2","Brown","Piloswine","イノムー","Cochignon","Ice","Ground","221"
"222","Corsola","60","fast","23.62","11.02","11;6","57","2","Pink","Corsola","サニーゴ","Corayon","Water","Rock","222"
"223","Remoraid","190","medium","23.62","26.46","11","57","2","Gray","Remoraid","テッポウオ","Rémoraid","Water","","223"
"224","Octillery","75","medium","35.43","62.83","11","57","2","Red","Octillery","オクタン","Octillery","Water","","224"
"225","Delibird","45","fast","35.43","35.27","15;3","57","2","Red","Delibird","デリバード","Cadoizo","Ice","Flying","225"
"226","Mantine","25","slow","82.68","485.02","11;3","57","2","Purple","Mantine","マンタイン","Démanta","Water","Flying","226"
"227","Skarmory","25","slow","66.93","111.33","9;3","57","2","Gray","Skarmory","エアームド","Airmure","Steel","Flying","227"
